,nsw_loca_2,Area,2021 Median age (years),2016 Median age (years),Change
0,ALEXANDRIA,,,,
1,, ,34.0,33.0,1.0
2,ANNANDALE,,,,
3,,AUSTRALIA,38.0,38.0,0.0
4,BALMAIN,,,,
5,BALMAIN EAST,,,,
6,BARANGAROO,,,,
7,BEACONSFIELD,,,,
8,BIRCHGROVE,,,,
9,CAMPERDOWN,CAMPERDOWN,31.0,28.0,3.0
10,,CBD AND HARBOUR VILLAGE AREA,37.0,36.0,1.0
11,CENTENNIAL PARK,,,,
12,,CENTENNIAL PARK - MOORE PARK,36.0,35.0,1.0
13,,CHINATOWN AND CBD SOUTH VILLAGE AREA,31.0,28.0,3.0
14,CHIPPENDALE,CHIPPENDALE,28.0,26.0,2.0
15,,CITY OF SYDNEY,34.0,32.0,2.0
16,,CROWN AND BAPTIST STREETS VILLAGE AREA,37.0,36.0,1.0
17,DARLINGHURST,DARLINGHURST,37.0,35.0,2.0
18,DARLINGTON,DARLINGTON,27.0,25.0,2.0
19,DAWES POINT,,,,
20,DRUMMOYNE,,,,
21,,ELIZABETH BAY,44.0,41.0,3.0
22,ENMORE,,,,
23,ERSKINEVILLE,,,,
24,,ERSKINEVILLE - EVELEIGH,34.0,34.0,0.0
25,EVELEIGH,,,,
26,FOREST LODGE,,,,
27,GLEBE,,,,
28,,GLEBE - FOREST LODGE,36.0,34.0,2.0
29,,GLEBE POINT ROAD VILLAGE AREA,35.0,32.0,3.0
30,,GREATER SYDNEY,37.0,36.0,1.0
31,,GREEN SQUARE,31.0,29.0,2.0
32,,GREEN SQUARE AND CITY SOUTH VILLAGE AREA,31.0,30.0,1.0
33,,HARRIS STREET VILLAGE AREA,35.0,31.0,4.0
34,HAYMARKET,HAYMARKET,30.0,27.0,3.0
35,,INNER SYDNEY REGION,36.0,34.0,2.0
36,KENSINGTON,,,,
37,,KING STREET VILLAGE AREA,33.0,31.0,2.0
38,,KINGS CROSS,38.0,35.0,3.0
39,LEICHHARDT,,,,
40,LILYFIELD,,,,
41,,MACLEAY STREET AND WOOLLOOMOOLOO VILLAGE AREA,39.0,35.0,4.0
42,MARRICKVILLE,,,,
43,MILLERS POINT,,,,
44,MOORE PARK,,,,
45,,NEW SOUTH WALES,39.0,38.0,1.0
46,NEWTOWN,NEWTOWN,33.0,32.0,1.0
47,,OXFORD STREET VILLAGE AREA,37.0,35.0,2.0
48,PADDINGTON,PADDINGTON,36.0,34.0,2.0
49,PETERSHAM,,,,
50,POTTS POINT,POTTS POINT,38.0,32.0,6.0
51,PYRMONT,PYRMONT,37.0,34.0,3.0
52,REDFERN,REDFERN,36.0,35.0,1.0
53,,REDFERN STREET VILLAGE AREA,32.0,30.0,2.0
54,ROSEBERY,ROSEBERY,32.0,31.0,1.0
55,ROZELLE,,,,
56,RUSHCUTTERS BAY,RUSHCUTTERS BAY,38.0,36.0,2.0
57,,SSROC,37.0,35.0,2.0
58,ST PETERS,,,,
59,STANMORE,,,,
60,SURRY HILLS,SURRY HILLS,35.0,34.0,1.0
61,SYDENHAM,,,,
62,SYDNEY,SYDNEY,32.0,30.0,2.0
63,TEMPE,,,,
64,THE ROCKS,,,,
65,,THE ROCKS - MILLERS POINT - DAWES POINT,45.0,45.0,0.0
66,ULTIMO,ULTIMO,30.0,26.0,4.0
67,WATERLOO,,,,
68,,WATERLOO - ZETLAND,32.0,30.0,2.0
69,WOOLLOOMOOLOO,WOOLLOOMOOLOO,39.0,37.0,2.0
70,ZETLAND,,,,
