nsw_loca_2,2021 Median age (years),2016 Median age (years),Change
ALEXANDRIA,34,33,1
ANNANDALE,38,,
BALMAIN,42,,
BALMAIN EAST,46,,
BARANGAROO,40,,
BEACONSFIELD,33,,
BIRCHGROVE,46,,
CAMPERDOWN,31,28,3
CENTENNIAL PARK,36,35,1
CHIPPENDALE,28,26,2
DARLINGHURST,37,35,2
DARLINGTON,27,25,2
DAWES POINT,55,,
DRUMMOYNE,40,,
ENMORE,33,31,2
ERSKINEVILLE,34,34,0
EVELEIGH,34,34,0
FOREST LODGE,36,34,2
GLEBE,36,34,2
HAYMARKET,30,27,3
KENSINGTON,32,,
LEICHHARDT,40,,
LILYFIELD,41,,
MARRICKVILLE,37,,
MILLERS POINT,43,,
MOORE PARK,36,35,1
NEWTOWN,33,32,1
PADDINGTON,36,34,2
PETERSHAM,36,,
POTTS POINT,38,32,6
PYRMONT,37,34,3
REDFERN,36,35,1
ROSEBERY,32,31,1
ROZELLE,40,,
RUSHCUTTERS BAY,38,36,2
ST PETERS,35,,
STANMORE,36,,
SURRY HILLS,35,34,1
SYDENHAM,36,,
SYDNEY,32,30,2
TEMPE,39,,
THE ROCKS,45,45,0
ULTIMO,30,26,4
WATERLOO,32,30,2
WOOLLOOMOOLOO,39,37,2
ZETLAND,32,30,2
