nsw_loca_2,Shape__Length,total_km
SYDNEY,45414.994629678215,45.41
ALEXANDRIA,39953.539150376215,39.95
NEWTOWN,34746.889875896675,34.75
DARLINGHURST,30350.864751180343,30.35
MARRICKVILLE,28669.68029666928,28.67
ROZELLE,27590.063634345253,27.59
REDFERN,27533.762873890748,27.53
SURRY HILLS,27422.727415771653,27.42
WATERLOO,26533.99047708112,26.53
KENSINGTON,26073.584185189455,26.07
ANNANDALE,23798.533346648463,23.8
MOORE PARK,22955.851869828937,22.96
CAMPERDOWN,22362.550975108334,22.36
PETERSHAM,22012.943444425742,22.01
LILYFIELD,21460.769125161372,21.46
GLEBE,20433.693550001663,20.43
CENTENNIAL PARK,20217.701920547384,20.22
PYRMONT,19514.137628559947,19.51
STANMORE,19511.470452738547,19.51
ROSEBERY,19494.9790681865,19.49
ZETLAND,18305.745745415228,18.31
ST PETERS,14934.902255117337,14.93
HAYMARKET,13793.162969335654,13.79
PADDINGTON,13700.386390605836,13.7
LEICHHARDT,13426.359838551367,13.43
ERSKINEVILLE,12833.350026333173,12.83
FOREST LODGE,12382.97358215204,12.38
ULTIMO,11737.246318540592,11.74
BALMAIN,11414.469938347327,11.41
WOOLLOOMOOLOO,9740.530223528904,9.74
DRUMMOYNE,9049.096039430402,9.05
MILLERS POINT,7689.446457999245,7.69
DARLINGTON,7289.815546871387,7.29
CHIPPENDALE,7054.9571365271095,7.05
ENMORE,6314.498590674339,6.31
POTTS POINT,5763.22287628124,5.76
THE ROCKS,4502.156475971913,4.5
RUSHCUTTERS BAY,3861.753414462428,3.86
EVELEIGH,3844.5508611940595,3.84
BIRCHGROVE,3808.7285592325,3.81
DAWES POINT,3795.332372204762,3.8
TEMPE,3071.614405881744,3.07
BALMAIN EAST,2419.8527716941708,2.42
BARANGAROO,1815.028154529025,1.82
BEACONSFIELD,1635.12377832468,1.64
SYDENHAM,1322.5330775884,1.32
